"","Name","Score2008","Score2014","Score2021","EarlyNAflag","LaterNAflag","Scorechange","lon","lat","address"
"111","Ravelston Woods     , Edinburgh, Scotland",NA,72,77,NA,NA,5,-3.2481645,55.956791,"ravelston woods, 195 queensferry rd, edinburgh eh4 3nd, uk"
"112","Redbraes Park         , Edinburgh, Scotland",NA,59,66,NA,NA,7,-3.1877622,55.9678315,"redbraes park, 185/3 broughton rd, edinburgh eh7 4ln, uk"
"113","Redford Wood       , Edinburgh, Scotland",NA,51,71,NA,NA,20,-3.3342507,55.8598128,"redford wood, balerno eh14, uk"
"114","Redhall Park       , Edinburgh, Scotland",NA,54,66,NA,NA,12,-3.2563094,55.9217943,"redhall park, edinburgh eh14, uk"
"115","Regent Road Park         , Edinburgh, Scotland",NA,60,70,NA,NA,10,-3.1735493,55.9551338,"regent road park, edinburgh, uk"
"116","River Almond Walkway     , Edinburgh, Scotland",NA,61,77,NA,NA,16,-3.3117831,55.9708365,"river almond walkway, cramond, edinburgh eh4, uk"
"117","Riverside Park     , Edinburgh, Scotland",NA,55,60,NA,NA,5,-3.188267,55.953252,"edinburgh, uk"
"118","Rocheid Path     , Edinburgh, Scotland",NA,66,72,NA,NA,6,-3.2034047,55.9629027,"rocheid path, 16 inverleith terrace ln, edinburgh eh3 5np, uk"
"119","Roseburn Park City Park West     , Edinburgh, Scotland",NA,65,69,NA,NA,4,-3.227273,55.9706816,"citypark way, edinburgh eh5, uk"
"120","Rosefield Park      , Edinburgh, Scotland",NA,68,70,NA,NA,2,-3.1197297,55.9519816,"rosefield park, 5 w brighton cres, portobello, west, edinburgh eh15 1lu, uk"
"121","Saughton Park       , Edinburgh, Scotland",NA,62,77,NA,NA,15,-3.2533495,55.9412729,"saughton park, edinburgh eh12, uk"
"122","Seafield Recreation Ground Recreation Ground     , Edinburgh, Scotland",NA,48,54,NA,NA,6,-3.1379585,55.9649475,"seafield recreation ground, craigentinny ave, edinburgh eh7 6rd, uk"
